Дата,Индекс МосБиржи
6/2/2023,2719.48
6/1/2023,2721.73
5/31/2023,2717.64
5/30/2023,2698.75
5/29/2023,2732.00
5/26/2023,2682.03
5/25/2023,2649.98
5/24/2023,2654.99
5/23/2023,2641.66
5/22/2023,2633.26
5/19/2023,2626.16
5/18/2023,2632.91
5/17/2023,2634.48
5/16/2023,2633.71
5/15/2023,2611.07
5/12/2023,2565.17
5/11/2023,2595.12
5/10/2023,2548.63
5/8/2023,2527.59
5/5/2023,2538.24
5/4/2023,2524.51
5/3/2023,2532.42
5/2/2023,2580.51
4/28/2023,2634.94
4/27/2023,2646.18
4/26/2023,2620.33
4/25/2023,2626.86
4/24/2023,2635.43
4/21/2023,2639.95
4/20/2023,2637.85
4/19/2023,2606.55
4/18/2023,2615.62
4/17/2023,2596.11
4/14/2023,2554.85
4/13/2023,2544.28
4/12/2023,2538.47
4/11/2023,2533.69
4/10/2023,2547.35
4/7/2023,2508.39
4/6/2023,2498.30
4/5/2023,2500.80
4/4/2023,2480.45
4/3/2023,2473.32
3/31/2023,2450.67
3/30/2023,2465.93
3/29/2023,2460.87
3/28/2023,2442.19
3/27/2023,2440.68
3/24/2023,2391.53
3/23/2023,2388.35
3/22/2023,2393.88
3/21/2023,2398.15
3/20/2023,2397.16
3/17/2023,2322.78
3/16/2023,2258.22
3/15/2023,2262.07
3/14/2023,2290.32
3/13/2023,2269.47
3/10/2023,2276.25
3/9/2023,2290.14
3/7/2023,2295.60
3/6/2023,2294.12
3/3/2023,2272.20
3/2/2023,2254.30
3/1/2023,2279.65
2/28/2023,2253.16
2/27/2023,2241.10
2/24/2023,2208.03
2/22/2023,2212.40
2/21/2023,2212.42
2/20/2023,2183.57
2/17/2023,2168.88
2/16/2023,2153.96
2/15/2023,2166.46
2/14/2023,2232.23
2/13/2023,2264.27
2/10/2023,2261.58
2/9/2023,2262.45
2/8/2023,2251.97
2/7/2023,2267.69
2/6/2023,2272.37
2/3/2023,2248.30
2/2/2023,2243.54
2/1/2023,2230.15
1/31/2023,2225.60
1/30/2023,2204.41
1/27/2023,2189.35
1/26/2023,2166.92
1/25/2023,2170.15
1/24/2023,2172.75
1/23/2023,2185.31
1/20/2023,2166.69
1/19/2023,2168.83
1/18/2023,2196.26
1/17/2023,2196.84
1/16/2023,2224.90
1/13/2023,2199.94
1/12/2023,2185.93
1/11/2023,2186.98
1/10/2023,2159.51
1/9/2023,2163.50
1/6/2023,2156.39
1/5/2023,2156.67
1/4/2023,2168.42
1/3/2023,2172.68
12/30/2022,2154.12
12/29/2022,2147.06
12/28/2022,2139.77
12/27/2022,2150.92
12/26/2022,2139.21
12/23/2022,2124.02
12/22/2022,2122.91
12/21/2022,2116.13
12/20/2022,2119.37
12/19/2022,2129.98
12/16/2022,2132.75
12/15/2022,2126.80
12/14/2022,2159.81
12/13/2022,2174.38
12/12/2022,2173.16
12/9/2022,2177.85
12/8/2022,2184.43
12/7/2022,2192.88
12/6/2022,2196.24
12/5/2022,2208.28
12/2/2022,2180.44
12/1/2022,2187.29
11/30/2022,2174.53
11/29/2022,2185.32
11/28/2022,2177.45
11/25/2022,2195.17
11/24/2022,2210.95
11/23/2022,2211.89
11/22/2022,2196.04
11/21/2022,2166.31
11/18/2022,2206.32
11/17/2022,2212.93
11/16/2022,2227.19
11/15/2022,2223.26
11/14/2022,2244.77
11/11/2022,2217.44
11/10/2022,2210.02
11/9/2022,2166.56
11/8/2022,2207.20
11/7/2022,2208.78
11/3/2022,2155.92
11/2/2022,2173.84
11/1/2022,2174.35
10/31/2022,2166.61
10/28/2022,2167.70
10/27/2022,2164.64
10/26/2022,2120.58
10/25/2022,2130.65
10/24/2022,2063.95
10/21/2022,2043.71
10/20/2022,2025.51
10/19/2022,1978.40
10/18/2022,2032.40
10/17/2022,2012.85
10/14/2022,1950.98
10/13/2022,1955.20
10/12/2022,1951.65
10/11/2022,1949.46
10/10/2022,1916.97
10/7/2022,1944.75
10/6/2022,2020.63
10/5/2022,2029.88
10/4/2022,2046.42
10/3/2022,2041.96
9/30/2022,1957.31
9/29/2022,1953.77
9/28/2022,1963.86
9/27/2022,1953.46
9/26/2022,1933.35
9/23/2022,2089.87
9/22/2022,2190.87
9/21/2022,2130.71
9/20/2022,2215.67
